Unnamed: 0,Code,Provincia de registro,Distrito Nacional,Azua,Bahoruco,Barahona,Dajab�n,Duarte,El�as Pi�a,El Seibo,Espaillat,Independencia,La Altagracia,La Romana,La Vega,Mar�a Trinidad S�nchez,Monte Cristi,Pedernales,Peravia,Puerto Plata,Hermanas Mirabal,Saman�,San Cristobal,San Juan,San Pedro de Macoris,S�nchez Ram�rez,Santiago,Santiago Rodr�guez,Valverde,Monse�or Nouel,Monte Plata,Hato Mayor,San Jos� de Ocoa,Santo Domingo,Unnamed: 35,Total_Distrito Nacional,Total_Azua,Total_Bahoruco,Total_Barahona,Total_Dajab�n,Total_Duarte,Total_El�as Pi�a,Total_El Seibo,Total_Espaillat,Total_Independencia,Total_La Altagracia,Total_La Romana,Total_La Vega,Total_Mar�a Trinidad S�nchez,Total_Monte Cristi,Total_Pedernales,Total_Peravia,Total_Puerto Plata,Total_Hermanas Mirabal,Total_Saman�,Total_San Cristobal,Total_San Juan,Total_San Pedro de Macoris,Total_S�nchez Ram�rez,Total_Santiago,Total_Santiago Rodr�guez,Total_Valverde,Total_Monse�or Nouel,Total_Monte Plata,Total_Hato Mayor,Total_San Jos� de Ocoa,Total_Santo Domingo,Total_Unnamed: 35,Total
,14,Provincia Mar�a Trinidad S�nchez,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,674,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9917.0
,15,Provincia Monte Cristi,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,502,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9746.0
,16,Provincia Pedernales,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,40,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9285.0
,17,Provincia Peravia,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,792,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,10038.0
,18,Provincia Puerto Plata,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,   1 787,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9247.0
,19,Provincia Hermanas Mirabal,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,642,0,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9890.0
,20,Provincia Saman�,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,512,    0,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9761.0
,21,Provincia San Crist�bal,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,   2 560,0,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9250.0
,22,Provincia San Juan,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,470,    0,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9721.0
,23,Provincia San Pedro De Macor�s,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,   1 482,0,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9252.0
,24,Provincia S�nchez Ram�rez,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,630,    0,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9883.0
,25,Provincia Santiago,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,   5 563,0,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9254.0
,26,Provincia Santiago Rodr�guez,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,292,0,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9547.0
,27,Provincia Valverde,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,886,    0,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,10142.0
,28,Provincia Monse�or Nouel,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,   1 169,0,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9257.0
,29,Provincia Monte Plata,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,598,0,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9856.0
,30,Provincia Hato Mayor,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,372,0,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9631.0
,31,Provincia San Jos� De Ocoa,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,211,    0,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9471.0
,32,Provincia Santo Domingo,    0,0,0,0,0,    0,0,0,    0,0,    0,    0,    0,0,0,0,0,    0,0,0,    0,0,    0,0,    0,0,0,    0,0,0,0,   10 796,,   5 972,871,364,704,215,   1 442,60,248,   1 310,146,   2 320,   1 312,   2 085,674,502,40,792,   1 787,642,512,   2 560,470,   1 482,630,   5 563,292,886,   1 169,598,372,211,   10 796,,9261.0
